Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Sampletype,Method.of.detection,Gene,Pathogen,Hosts.studied,Host.positive,Infection.prevalence.host,Ecotype.AP,Sequencing,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.AF,Same.reference,Multiple.species,Notes,Birds
0001,"Adamska & Skotarczak, 2007",Near Szczecin,Poland,No,Forested areas,April & May & November & December 2003,European roe deer,Capreolus capreolus,Mammal,Hunting,Blood and spleen,PCR,Msp2,A. phagocytophilum,72,23,0.32,No,No,No,NA,T,"Adamska & Skotarczak, (2007)",No,"20 positive in blood, 9 positive in spleen -> of these were 6 positive in both, thus in total 23 positive",No birds
0002,"Adamska, 2006",Around city of Szczecin (West Pomeranian,Poland,No,Forest,May - June and September - December 2004,European roe deer,Capreolus capreolus,Mammal,Hunting,Blood,PCR,msp2,A. phagocytophilum,127,30,0.24,No,No,No,NA,No,NA,No,Paper in Polish,No birds
0003,"Adamska, 2010",Puszcza Wkrzańska Forest,Poland,No,Forested areas,2005,European roe deer,Capreolus capreolus,Mammal,Hunting,Blood and spleen,PCR,Msp2,A. phagocytophilum,59,27,0.46,No,Yes,No,NA,No,NA,No,"15 positive in blood, 18 positive in spleen -> of these 6 were positive in both, thus 27 positive in total",No birds
0004,"Adamska, 2010",Puszcza Wkrzańska Forest,Poland,No,Forested areas,2005,Red deer,Cervus elaphus,Mammal,Hunting,Blood and spleen,PCR,Msp2,A. phagocytophilum,20,13,0.65,No,Yes,No,NA,T,"Wodecka, (2007)",No,"2 positive in blood and 12 positive in spleen -> of these 1 was positive in both, thus 13 positives in total",No birds
0005,"Adamska, 2010",Puszcza Wkrzańska Forest,Poland,No,Forested areas,2005,Wild boar,Sus scrofa,Mammal,Hunting,Blood and spleen,PCR,Msp2,A. phagocytophilum,21,1,0.05,No,Yes,No,NA,No,NA,No,"0 positive in blood and 1 positive in spleen, thus 1 positive in total",No birds
0006,"Afonso & Goydadin, 2018",Doubs in the Franche-Comte region; Haute-Saone in the Franche-Comte region; Jura in the Franche-Comte region,France,No,"Buildings surrounded by woodlands and shrublands, grasslands and arable lands",June-July 2011,Lesser horseshoe bat,Rhinolophus hipposideros,Mammal,Sampling,Faeces,PCR,Msp2,A. phagocytophilum,278,63,0.23,No,Yes,Yes,95% CI is given per Roost,No,NA,No,,No birds
0007,"Alberdi et al., 2000",Scotland and England,UK,No,Forest (oa conifer),November 1997-November 1998,European roe deer,Capreolus capreolus,Mammal,Hunting,Blood and spleen,PCR,GroE,E. phagocytophila,82,41,0.50,No,No,No,NA,No,NA,No,"We only included animals tested in both spleen and blood. There were also 2 only tested in blood, but we could not deduct whether these were positive or negative. We can not deduct how many of the 41 positives were positive in only spleen, in only blood and in both. Of all the spleen samples 27 were positive. Of all the blood samples (including the 2 where only blood was tested) 34 were positive.",No birds
0008,"Barandika et al., 2007",Basque Country,Spain,No,NA,April 2000 - November 2002 & September 2003 - May 2005,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,"Tissue (ear, urinary bladder, spleen, liver, kidney, lung, and brain)",Multiplex PCR & RLB,msp2,A. phagocytophilum,3,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0009,"Barandika et al., 2007",Basque Country,Spain,No,NA,April 2000 - November 2002 & September 2003 - May 2005,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,"Tissue (ear, urinary bladder, spleen, liver, kidney, lung, and brain)",Multiplex PCR & RLB,msp2,A. phagocytophilum,162,1,0.01,No,No,No,NA,No,NA,No,,No birds
0010,"Barandika et al., 2007",Basque Country,Spain,No,NA,April 2000 - November 2002 & September 2003 - May 2005,Greater white-toothed shrew,Crocidura russula,Mammal,Scientific capturing,"Tissue (ear, urinary bladder, spleen, liver, kidney, lung, and brain)",Multiplex PCR & RLB,msp2,A. phagocytophilum,6,1,0.17,No,No,No,NA,No,NA,No,,No birds
0011,"Barandika et al., 2007",Basque Country,Spain,No,NA,April 2000 - November 2002 & September 2003 - May 2005,House mouse,Mus musculus,Mammal,Scientific capturing,"Tissue (ear, urinary bladder, spleen, liver, kidney, lung, and brain)",Multiplex PCR & RLB,msp2,A. phagocytophilum,28,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0012,"Barandika et al., 2007",Basque Country,Spain,No,NA,April 2000 - November 2002 & September 2003 - May 2005,Bank vole,Myodes glareolus,Mammal,Scientific capturing,"Tissue (ear, urinary bladder, spleen, liver, kidney, lung, and brain)",Multiplex PCR & RLB,msp2,A. phagocytophilum,16,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0013,"Barandika et al., 2007",Basque Country,Spain,No,NA,April 2000 - November 2002 & September 2003 - May 2005,Crowned shrew,Sorex coronatus,Mammal,Scientific capturing,"Tissue (ear, urinary bladder, spleen, liver, kidney, lung, and brain)",Multiplex PCR & RLB,msp2,A. phagocytophilum,14,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0014,"Barandika et al., 2007",Basque Country,Spain,No,NA,April 2000 - November 2002 & September 2003 - May 2005,European mole,Talpa europaea,Mammal,Scientific capturing,"Tissue (ear, urinary bladder, spleen, liver, kidney, lung, and brain)",Multiplex PCR & RLB,msp2,A. phagocytophilum,24,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0015,"Beninati et al., 2006",Trento,Italy,No,NA,2001,European roe deer,Capreolus capreolus,Mammal,Hunted or found dead,Spleen,PCR,16S rRNA,A. phagocytophilum,96,19,0.20,No,Yes,No,NA,No,NA,No,,No birds
0016,"Beninati et al., 2006",Trento,Italy,No,NA,2002,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Blood,PCR,16S rRNA,A. phagocytophilum,34,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0017,"Blanarova et al., 2014","Čermel’ (48°45'46.67''N; 21°8'8.17''E), Hýl’ov (48°44'22.80''N; 21°4'18.90''E), Botanical garden Košice (48°44'6.84''N; 21°14'16.14''E) & Rozhanovce (48°45'00''N; 21°21'00''E)",Slovakia,No,"Sylvatic mixed forest (Čermel’ & Hýl’ov), Suburban deciduous forest (Botanical garden Košice) & Game reserve (Rozhanovce)",June & September in 2011 & 2012,Striped field mouse,Apodemus agrarius,Mammal,Scientific capturing,Spleen & ear,Real-time PCR,msp2,A. phagocytophilum,296,1,0.00,No,Yes,No,NA,T+AF,"Blanarova et al., (2014)",No,"At sites where Ixodes trianguliceps were absent, no AP was detected in rodents",No birds
0018,"Blanarova et al., 2014","Čermel’ (48°45'46.67''N; 21°8'8.17''E), Hýl’ov (48°44'22.80''N; 21°4'18.90''E), Botanical garden Košice (48°44'6.84''N; 21°14'16.14''E) & Rozhanovce (48°45'00''N; 21°21'00''E)",Slovakia,No,"Sylvatic mixed forest (Čermel’ & Hýl’ov), Suburban deciduous forest (Botanical garden Košice) & Game reserve (Rozhanovce)",June & September in 2011 & 2012,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,Spleen & ear,Real-time PCR,msp2,A. phagocytophilum,239,2,0.01,No,Yes,No,NA,T+AF,"Blanarova et al., (2014)",No,"At sites where Ixodes trianguliceps were absent, no AP was detected in rodents",No birds
0019,"Blanarova et al., 2014",Botanical garden Košice (48°44'6.84''N; 21°14'16.14''E); Rozhanovce (48°45'00''N; 21°21'00''E),Slovakia,No,Suburban deciduous forest and Game reserve,June & September in 2011 & 2012,Lesser white-toothed shrew,Crocidura suaveolens,Mammal,Scientific capturing,Spleen & ear,Real-time PCR,msp2,A. phagocytophilum,2,0,0.00,NA,NA,No,NA,T,"Blanarova et al., (2014)",No,"At sites where Ixodes trianguliceps were absent, no AP was detected in rodents",No birds
0020,"Blanarova et al., 2014",Botanical garden Košice (48°44'6.84''N; 21°14'16.14''E),Slovakia,No,Suburban deciduous forest,June & September in 2011 & 2012,Harvest mouse,Micromys minutus,Mammal,Scientific capturing,Spleen & ear,Real-time PCR,msp2,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,T,"Blanarova et al., (2014)",No,"At sites where Ixodes trianguliceps were absent, no AP was detected in rodents",No birds
0021,"Blanarova et al., 2014",Čermel’ (48°45'46.67''N; 21°8'8.17''E); Rozhanovce (48°45'00''N; 21°21'00''E),Slovakia,No,Sylvatic mixed forest and Game reserve,June & September in 2011 & 2012,Common vole,Microtus arvalis,Mammal,Scientific capturing,Spleen & ear,Real-time PCR,msp2,A. phagocytophilum,11,0,0.00,NA,NA,No,NA,T,"Blanarova et al., (2014)",No,"At sites where Ixodes trianguliceps were absent, no AP was detected in rodents",No birds
0022,"Blanarova et al., 2014","Čermel’ (48°45'46.67''N; 21°8'8.17''E), Hýl’ov (48°44'22.80''N; 21°4'18.90''E), Botanical garden Košice (48°44'6.84''N; 21°14'16.14''E) & Rozhanovce (48°45'00''N; 21°21'00''E)",Slovakia,No,"Sylvatic mixed forest (Čermel’ & Hýl’ov), Suburban deciduous forest (Botanical garden Košice) & Game reserve (Rozhanovce)",June & September in 2011 & 2012,European pine vole,Microtus subterraneus,Mammal,Scientific capturing,Spleen & ear,Real-time PCR,msp2,A. phagocytophilum,7,0,0.00,NA,NA,No,NA,T+AF,"Blanarova et al., (2014)",No,"At sites where Ixodes trianguliceps were absent, no AP was detected in rodents",No birds
0023,"Blanarova et al., 2014","Čermel’ (48°45'46.67''N; 21°8'8.17''E), Hýl’ov (48°44'22.80''N; 21°4'18.90''E), Botanical garden Košice (48°44'6.84''N; 21°14'16.14''E) & Rozhanovce (48°45'00''N; 21°21'00''E)",Slovakia,No,"Sylvatic mixed forest (Čermel’ & Hýl’ov), Suburban deciduous forest (Botanical garden Košice) & Game reserve (Rozhanovce)",June & September in 2011 & 2012,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Spleen & ear,Real-time PCR,msp2,A. phagocytophilum,237,12,0.05,No,Yes,No,NA,T+AF,"Blanarova et al., (2014)",No,"At sites where Ixodes trianguliceps were absent, no AP was detected in rodents",No birds
0024,"Blanarova et al., 2014",Čermel’ (48°45'46.67''N; 21°8'8.17''E),Slovakia,No,Sylvatic mixed forest,June & September in 2011 & 2012,Eurasian water shrew,Neomys fodiens,Mammal,Scientific capturing,Spleen & ear,Real-time PCR,msp2,A. phagocytophilum,2,0,0.00,NA,NA,No,NA,T,"Blanarova et al., (2014)",No,"At sites where Ixodes trianguliceps were absent, no AP was detected in rodents",No birds
0025,"Blanarova et al., 2014","Čermel’ (48°45'46.67''N; 21°8'8.17''E), Hýl’ov (48°44'22.80''N; 21°4'18.90''E), Botanical garden Košice (48°44'6.84''N; 21°14'16.14''E) & Rozhanovce (48°45'00''N; 21°21'00''E)",Slovakia,No,"Sylvatic mixed forest (Čermel’ & Hýl’ov), Suburban deciduous forest (Botanical garden Košice) & Game reserve (Rozhanovce)",June & September in 2011 & 2012,Common shrew,Sorex araneus,Mammal,Scientific capturing,Spleen & ear,Real-time PCR,msp2,A. phagocytophilum,14,0,0.00,NA,NA,No,NA,T+AF,"Blanarova et al., (2014)",No,"At sites where Ixodes trianguliceps were absent, no AP was detected in rodents",No birds
0026,"Blanarova et al., 2014",Čermel’ (48°45'46.67''N; 21°8'8.17''E); Rozhanovce (48°45'00''N; 21°21'00''E),Slovakia,No,Sylvatic mixed forest and Game reserve,June & September in 2011 & 2012,Eurasian pygmy shrew,Sorex minutus,Mammal,Scientific capturing,Spleen & ear,Real-time PCR,msp2,A. phagocytophilum,3,0,0.00,NA,NA,No,NA,T,"Blanarova et al., (2014)",No,"At sites where Ixodes trianguliceps were absent, no AP was detected in rodents",No birds
0027,"Bown et al., 2003","Northwest England (N53:20:48, W03:02:50)",UK,No,Woodland,1997 and 1998,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,Blood,nested PCR,16S rRNA,A. phagocytophilum,390,7,0.02,No,No,No,NA,No,NA,No,,No birds
