Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Method.of.detection,Gene,Pathogen,Tick.hosts,Hosts.studied,Ecotype.AP,Sequencing,Larvae.tested,Larvae.positive,Larval.infection.prevalence,Nymphs.tested,Nymphs.positive,Nymphal.infection.prevalence,Adults.tested,Adults.positive,Adult.infection.prevalence,Hosts.with.infected.ticks,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.AH,Same.reference,Multiple.species,Notes,Birds
0001,"Baumgarten et al., 1999",Frankonia and southwest Baden-Württemberg,Germany,No,NA,Spring & summer 1998,European roe deer,Capreolus capreolus,Mammal,NA,nested PCR,16S rRNA,E. phagocytophila genogroup,2,NA,No,Yes,NA,NA,NA,NA,NA,NA,12,8,0.67,NA,No,NA,No,NA,No,,No birds
0002,"Bjoersdorff et al., 2001",East-coast of Öland,Sweden,No,NA,Spring & fall 1996,Eurasian reed warbler,Acrocephalus scirpaceus,Bird,Scientific capturing,PCR,16SrRNA,E. phagocytophila,1,5,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,T,"Bjoersdorff et al., (2001) ",No,,Migratory birds
0003,"Bjoersdorff et al., 2001",East-coast of Öland,Sweden,No,NA,Spring & fall 1996,European robin,Erithacus rubecula,Bird,Scientific capturing,PCR,16SrRNA,E. phagocytophila,33,655,No,Yes,14,0,0.00,40,3,0.08,0,NA,NA,NA,No,NA,T,"Bjoersdorff et al., (2001) ",No,,Migratory birds
0004,"Bjoersdorff et al., 2001",East-coast of Öland,Sweden,No,NA,Spring & fall 1996,Collared flycatcher,Ficedula albicollis,Bird,Scientific capturing,PCR,16SrRNA,E. phagocytophila,1,2,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,T,"Bjoersdorff et al., (2001) ",No,,Migratory birds
0005,"Bjoersdorff et al., 2001",East-coast of Öland,Sweden,No,NA,Spring & fall 1996,Europaen pied flycatcher,Ficedula hypoleuca,Bird,Scientific capturing,PCR,16SrRNA,E. phagocytophila,1,22,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,T,"Bjoersdorff et al., (2001) ",No,,Migratory birds
0006,"Bjoersdorff et al., 2001",East-coast of Öland,Sweden,No,NA,Spring & fall 1996,Icterine warbler,Hippolais icterina,Bird,Scientific capturing,PCR,16SrRNA,E. phagocytophila,1,12,NA,NA,1,0,0.00,0,NA,NA,0,NA,NA,NA,No,NA,T,"Bjoersdorff et al., (2001) ",No,,Migratory birds
0007,"Bjoersdorff et al., 2001",East-coast of Öland,Sweden,No,NA,Spring & fall 1996,Thrush nightingale,Luscinia luscinia,Bird,Scientific capturing,PCR,16SrRNA,E. phagocytophila,5,27,No,Yes,8,0,0.00,14,2,0.14,0,NA,NA,NA,No,NA,T,"Bjoersdorff et al., (2001) ",No,,Migratory birds
0008,"Bjoersdorff et al., 2001",East-coast of Öland,Sweden,No,NA,Spring & fall 1996,Common redstart,Phoenicurus phoenicurus,Bird,Scientific capturing,PCR,16SrRNA,E. phagocytophila,7,76,No,Yes,11,0,0.00,17,1,0.06,0,NA,NA,NA,No,NA,T,"Bjoersdorff et al., (2001) ",No,,Migratory birds
0009,"Bjoersdorff et al., 2001",East-coast of Öland,Sweden,No,NA,Spring & fall 1996,Greenish warbler,Phylloscopus trochiloides,Bird,Scientific capturing,PCR,16SrRNA,E. phagocytophila,1,1,NA,NA,1,0,0.00,0,NA,NA,0,NA,NA,NA,No,NA,T,"Bjoersdorff et al., (2001) ",No,,Migratory birds
0010,"Bjoersdorff et al., 2001",East-coast of Öland,Sweden,No,NA,Spring & fall 1996,Willow warbler,Phylloscopus trochilus,Bird,Scientific capturing,PCR,16SrRNA,E. phagocytophila,3,1025,NA,NA,4,0,0.00,0,NA,NA,0,NA,NA,NA,No,NA,T,"Bjoersdorff et al., (2001) ",No,,Migratory birds
