Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Sampletype,Method.of.detection,Pathogen,Hosts.studied,Host.positive,Infection.prevalence.host,Genospecies.identification,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.BF,Same.reference,Multiple.species,Notes,Birds,Additional.data.email,Data.collection,Double.ext
001,"Adaszek et al., 2014",Bialowieza Primeval Forest,Poland,No,Forest,2009-2014,European Bison,Bison bonasus,Mammal,Hunting,Blood,PCR,B. burgdorferi s.l.,120,16,0.13,No,No,NA,No,NA,No,,No birds,No,L,No
002,"Amore et al., 2007",Tuscany,Italy,No,,,Common wall lizard,Podarcis muralis,Reptile ,,Tails,Sequencing,B. lusitaniae,32,6,0.19,No,,,,,No,,No birds,,H,Yes
003,"Andersson et al., 2013",Southern Sweden,Sweden ,No,,June 2007-August 2009 (trapped in May-October and January),Bank vole,Myodes glareolus,Mammal,,Ear biopsy,PCR,B. afzelii,906,154,0.17,No,,,,,No,,No birds,,H,Yes
004,"Balazova et al., 2021","Salaš (49°08’N, 17°21’E)",Czech Republic,No,"Oak-hornbeam forest, spruce forest plantation, mixed forest, garden, meadow, brook bank and ecotones","August, october, november 2014-2019",Apodemus spp.,Apodemus spp.,Mammal,Scientific capturing,"Mixure of heart, liver, kidney spleen and muscle",qPCR,B. burgdorferi s.l.,297,27,0.09,No,Yes,95% CI: 6.1–13.0%,No,NA,Half,"""Apodemus sp"": at least one of the three field mice species in the area (A. flavicollis, A. sylvaticus and A. uralensis)",No birds,No,L,No
005,"Balazova et al., 2021","Salaš (49°08’N, 17°21’E)",Czech Republic,No,"Oak-hornbeam forest, spruce forest plantation, mixed forest, garden, meadow, brook bank and ecotones","August, october, november 2014-2019",Striped field mouse,Apodemus agrarius,Mammal,Scientific capturing,"Mixure of heart, liver, kidney spleen and muscle",qPCR,B. burgdorferi s.l.,32,8,0.25,No,Yes,95% CI: 11.5–43.4%,No,NA,No,,No birds,No,L,No
006,"Balazova et al., 2021","Salaš (49°08’N, 17°21’E)",Czech Republic,No,"Oak-hornbeam forest, spruce forest plantation, mixed forest, garden, meadow, brook bank and ecotones","August, october, november 2014-2019",Bank vole,Myodes glareolus,Mammal,Scientific capturing,"Mixure of heart, liver, kidney spleen and muscle",qPCR,B. burgdorferi s.l.,125,4,0.03,No,Yes,95% CI: 0.8–8.0%,No,NA,No,,No birds,No,L,No
007,"Balazova et al., 2021","Salaš (49°08’N, 17°21’E)",Czech Republic,No,"Oak-hornbeam forest, spruce forest plantation, mixed forest, garden, meadow, brook bank and ecotones","August, october, november 2014-2019",Common vole,Microtus arvalis,Mammal,Scientific capturing,"Mixure of heart, liver, kidney spleen and muscle",qPCR,B. burgdorferi s.l.,8,3,0.38,No,No,NA,No,NA,No,,No birds,No,L,No
008,"Balazova et al., 2021","Salaš (49°08’N, 17°21’E)",Czech Republic,No,"Oak-hornbeam forest, spruce forest plantation, mixed forest, garden, meadow, brook bank and ecotones","August, october, november 2014-2019",House mouse,Mus musculus,Mammal,Scientific capturing,"Mixure of heart, liver, kidney spleen and muscle",qPCR,B. burgdorferi s.l.,1,0,0.00,NA,No,NA,No,NA,No,,No birds,No,L,No
009,"Balazova et al., 2021","Salaš (49°08’N, 17°21’E)",Czech Republic,No,"Oak-hornbeam forest, spruce forest plantation, mixed forest, garden, meadow, brook bank and ecotones","August, october, november 2014-2019",Lesser white-toothed shrew,Crocidura suaveolens,Mammal,Scientific capturing,"Mixure of heart, liver, kidney spleen and muscle",qPCR,B. burgdorferi s.l.,25,0,0.00,NA,Yes,95% CI: 0.0–1.4%,No,NA,No,,No birds,No,L,No
010,"Balazova et al., 2021","Salaš (49°08’N, 17°21’E)",Czech Republic,No,"Oak-hornbeam forest, spruce forest plantation, mixed forest, garden, meadow, brook bank and ecotones","August, october, november 2014-2019",Common shrew,Sorex araneus,Mammal,Scientific capturing,"Mixure of heart, liver, kidney spleen and muscle",qPCR,B. burgdorferi s.l.,10,0,0.00,NA,No ,NA,No,NA,No,,No birds,No,L,No
011,"Balazova et al., 2021","Salaš (49°08’N, 17°21’E)",Czech Republic,No,"Oak-hornbeam forest, spruce forest plantation, mixed forest, garden, meadow, brook bank and ecotones","August, october, november 2014-2019",Eurasian pygmy shrew,Sorex minutus,Mammal,Scientific capturing,"Mixure of heart, liver, kidney spleen and muscle",qPCR,B. burgdorferi s.l.,2,0,0.00,NA,No,NA,No,NA,No,,No birds,No,L,No
