Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Method.of.detection,Pathogen,Tick.hosts,Hosts.studied,Genospecies.identification,Larvae.tested,Larvae.positive,Larval.infection.prevalence,Nymphs.tested,Nymphs.positive,Nymphal.infection.prevalence,Adults.tested,Adults.positive,Adult.infection.prevalence,Hosts.with.infected.ticks,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.BH,Same.reference,Multiple.species,Notes,Birds,Additional.data.email,Total.ticks.tested,Total.ticks.positive,Total.ticks.infection.prevalence,Data.collection,Double.ext
001,"Amore et al., 2007",Tuscany,Italy,No,,,Apodemus spp.,Apodemus spp.,Mammal,,Sequencing,B. lusitaniae,,,NA,86,0,0.00,3,0,0.00,0,NA,NA,,,,,,Half,,No birds,,89,0,0.00,H,Yes
002,"Amore et al., 2007",Tuscany,Italy,No,,,European robin,Erithacus rubecula,Bird,,PCR,B. burgdorferi s.l.,,,NA,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
003,"Amore et al., 2007",Tuscany,Italy,No,,,House sparrow,Passer domesticus,Bird,,PCR,B. burgdorferi s.l.,,,NA,0,NA,NA,3,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,3,0,0.00,H,Yes
004,"Amore et al., 2007",Tuscany,Italy,No,,,Dunnock,Prunella modularis,Bird,,PCR,B. burgdorferi s.l.,,,NA,0,NA,NA,3,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,3,0,0.00,H,Yes
005,"Amore et al., 2007",Tuscany,Italy,No,,,Common wall lizard,Podarcis muralis,Reptile ,,Sequencing,B. lusitaniae,,,No,202,40,0.20,17,9,0.53,0,NA,NA,,,,,,No,,No birds,,219,49,0.22,H,Yes
006,"Amore et al., 2007",Tuscany,Italy,No,,,Common blackbird,Turdus merula,Bird,,PCR,B. valaisiana,,,No,0,NA,NA,7,4,0.57,0,NA,NA,,,,,,No,,Migratory birds,,7,4,0.57,H,Yes
007,"Borsan et al., 2021","Iuliu Hatieganu Park, USAMV Campus, Alexandru Borza Botanical Garden, Manastur Cemetery, Hoia forest and Faget forest",Romania,No,Urban and peri-urban,March-November 2018,Striped field mouse,Apodemus agrarius,Mammal,Scientific capturing ,Real-time PCR,Borellia spp. ,3,NA,Yes,4,1,0.25,0,NA,NA,0,NA,NA,NA,No,NA,T+BH,"Borsan et al., 2021; Borsan et al., 2020",No,,No birds,No,,,,L,No
008,"Borsan et al., 2021","Iuliu Hatieganu Park, USAMV Campus, Alexandru Borza Botanical Garden, Manastur Cemetery, Hoia forest and Faget forest",Romania,No,Urban and peri-urban,March-November 2018,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing ,Real-time PCR,Borellia spp. ,3,NA,NA,10,0,0.00,1,0,0.00,0,NA,NA,NA,No,NA,T+BH,"Borsan et al., 2021; Borsan et al., 2020",No,,No birds,No,,,,L,No
009,"Borsan et al., 2021","Iuliu Hatieganu Park, USAMV Campus, Alexandru Borza Botanical Garden, Manastur Cemetery, Hoia forest and Faget forest",Romania,No,Urban and peri-urban,March-November 2018,Northern white-breasted hedgehog,Erinaceus roumanicus,Mammal,Scientific capturing ,Real-time PCR,Borellia spp. ,11,NA,Yes,51,17,0.33,49,22,0.45,30,14,0.47,NA,No,NA,T+BH,"Borsan et al., 2021; Borsan et al., 2020",No,,No birds,No,,,,L,No
010,"Borsan et al., 2021","Iuliu Hatieganu Park, USAMV Campus, Alexandru Borza Botanical Garden, Manastur Cemetery, Hoia forest and Faget forest",Romania,No,Urban and peri-urban,March-November 2018,European robin,Erithacus rubecula,Bird,Scientific capturing ,Real-time PCR,Borellia spp. ,1,NA,NA,1,0,0.00,1,0,0.00,0,NA,NA,NA,No,NA,T+BH,"Borsan et al., 2021; Borsan et al., 2020",No,,Resident birds,No,,,,L,No
011,"Borsan et al., 2021","Iuliu Hatieganu Park, USAMV Campus, Alexandru Borza Botanical Garden, Manastur Cemetery, Hoia forest and Faget forest",Romania,No,Urban and peri-urban,March-November 2018,Eurasian jay,Garrulus glandarius,Bird,Scientific capturing ,Real-time PCR,Borellia spp. ,1,NA,Yes,1,0,0.00,1,1,1.00,0,NA,NA,NA,No,NA,T+BH,"Borsan et al., 2021; Borsan et al., 2020",No,,Resident birds,No,,,,L,No
012,"Borsan et al., 2021","Iuliu Hatieganu Park, USAMV Campus, Alexandru Borza Botanical Garden, Manastur Cemetery, Hoia forest and Faget forest",Romania,No,Urban and peri-urban,March-November 2018,Eurasian tree sparrow,Passer montanus,Bird,Scientific capturing ,Real-time PCR,Borellia spp. ,3,NA,NA,0,NA,NA,3,0,0.00,0,NA,NA,NA,No,NA,T+BH,"Borsan et al., 2021; Borsan et al., 2020",No,,Resident birds,No,,,,L,No
013,"Borsan et al., 2021","Iuliu Hatieganu Park, USAMV Campus, Alexandru Borza Botanical Garden, Manastur Cemetery, Hoia forest and Faget forest",Romania,No,Urban and peri-urban,March-November 2018,Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing ,Real-time PCR,Borellia spp. ,1,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,T+BH,"Borsan et al., 2021; Borsan et al., 2020",No,,Resident birds,No,,,,L,No
014,"Borsan et al., 2021","Iuliu Hatieganu Park, USAMV Campus, Alexandru Borza Botanical Garden, Manastur Cemetery, Hoia forest and Faget forest",Romania,No,Urban and peri-urban,March-November 2018,Eurasian pygmy shrew,Sorex minutus,Mammal,Scientific capturing ,Real-time PCR,Borellia spp. ,1,NA,NA,1,0,0.00,0,NA,NA,0,NA,NA,NA,No,NA,T+BH,"Borsan et al., 2021; Borsan et al., 2020",No,,No birds,No,,,,L,No
015,"Borsan et al., 2021","Iuliu Hatieganu Park, USAMV Campus, Alexandru Borza Botanical Garden, Manastur Cemetery, Hoia forest and Faget forest",Romania,No,Urban and peri-urban,March-November 2018,Common starling,Sturnus vulgaris,Bird,Scientific capturing ,Real-time PCR,Borellia spp. ,2,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,T+BH,"Borsan et al., 2021; Borsan et al., 2020",No,,Resident birds,No,,,,L,No
016,"Borsan et al., 2021","Iuliu Hatieganu Park, USAMV Campus, Alexandru Borza Botanical Garden, Manastur Cemetery, Hoia forest and Faget forest",Romania,No,Urban and peri-urban,March-November 2018,European mole,Talpa europaea,Mammal,Scientific capturing ,Real-time PCR,Borellia spp. ,1,NA,NA,4,0,0.00,0,NA,NA,0,NA,NA,NA,No,NA,T+BH,"Borsan et al., 2021; Borsan et al., 2020",No,,No birds,No,,,,L,No
017,"Borsan et al., 2021","Iuliu Hatieganu Park, USAMV Campus, Alexandru Borza Botanical Garden, Manastur Cemetery, Hoia forest and Faget forest",Romania,No,Urban and peri-urban,March-November 2018,Common blackbird,Turdus merula,Bird,Scientific capturing ,Real-time PCR,Borellia spp. ,2,NA,Yes,1,0,0.00,4,1,0.25,0,NA,NA,NA,No,NA,T+BH,"Borsan et al., 2021; Borsan et al., 2020",No,,Resident birds,No,,,,L,No
018,"Burri et al., 2014",Neuchatel,Switzerland,No,,"September, October and November 2011 and April and May 2012",Bank vole,Myodes glareolus,Mammal,,PCR-RLB,B. afzelii,,,No,0,NA,NA,47,9,0.19,0,NA,NA,,,,,,No,,No birds,,47,9,0.19,H,Yes
019,"Burri et al., 2014",Neuchatel,Switzerland,No,,"September, October and November 2011 and April and May 2012",Long-tailed field mouse,Apodemus sylvaticus,Mammal,,PCR-RLB,B. afzelii,,,No,0,NA,NA,20,11,0.55,0,NA,NA,,,,,,No,,No birds,,20,11,0.55,H,Yes
020,"Burri et al., 2014",Neuchatel,Switzerland,No,,"September, October and November 2011 and April and May 2012",Yellow-necked field mouse,Apodemus flavicollis,Mammal,,PCR-RLB,B. afzelii,,,No,0,NA,NA,20,10,0.50,0,NA,NA,,,,,,No,,No birds,,20,10,0.50,H,Yes
021,"Capligina et al., 2014",Lake Pape (56°09'N; 21°03'E),Latvia,No,Costal dunes and reedbeds),September-October 2009,European robin,Erithacus rubecula,Bird,Scientific capturing ,Real-time PCR,B. burgdorferi s.l.,19,NA,NA,31,0,0.00,14,0,0.00,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
022,"Capligina et al., 2014",Lake Pape (56°09'N; 21°03'E),Latvia,No,Costal dunes and reedbeds),September-October 2009,Eurasian wren,Troglodytes troglodytes,Bird,Scientific capturing ,Real-time PCR,B. burgdorferi s.l.,3,NA,NA,1,0,0.00,3,0,0.00,NA,NA,NA,NA,No ,NA,No,NA,No,,Migratory birds,No,,,,L,No
023,"Capligina et al., 2014",Lake Pape (56°09'N; 21°03'E),Latvia,No,Costal dunes and reedbeds),September-October 2009,Redwing thrush,Turdus iliacus,Bird,Scientific capturing ,Real-time PCR,B. burgdorferi s.l. ,2,NA,"Yes, but not further specified",2,1,0.50,12,2,0.17,NA,NA,NA,NA,No,NA,No,NA,No,"Total over T. iliacus, T. merula and T. philomelos: B. garinii 6/17, B. valaisiana 7/17, B. garinii + B. valaisiana 4/17",Migratory birds,No,,,,L,No
024,"Capligina et al., 2014",Lake Pape (56°09'N; 21°03'E),Latvia,No,Costal dunes and reedbeds),September-October 2009,Common blackbird,Turdus merula,Bird,Scientific capturing ,Real-time PCR,B. burgdorferi s.l. ,9,NA,"Yes, but not further specified",0,NA,NA,18,12,0.67,NA,NA,NA,NA,No ,NA,No,NA,No,,Migratory birds,No,,,,L,No
025,"Capligina et al., 2014",Lake Pape (56°09'N; 21°03'E),Latvia,No,Costal dunes and reedbeds),September-October 2009,Song thrush,Turdus philomelos,Bird,Scientific capturing ,Real-time PCR,B. burgdorferi s.l. ,3,NA,"Yes, but not further specified",3,0,0.00,4,2,0.50,NA,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
