id,origin,Author,Country,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Hosts.studied,Larvae.on.hosts,BBsl.Hosts.tested,BBsl.Hosts.positive,BBsl.Larvae.tested,BBsl.Larvae.positive,AP.Hosts.tested,AP.Hosts.positive,AP.Larvae.tested,AP.Larvae.positive
1,TB,"Lommano et al., 2014",Switzerland,Great tit,Parus major,Bird,Scientific capturing,5,1,NA,NA,1,0,NA,NA,1,0
2,TB,"Lommano et al., 2014",Switzerland,Song thrush,Turdus philomelos,Bird,Scientific capturing,1,3,NA,NA,3,3,NA,NA,3,0
3,AP_larvae,"Chvostac et al., 2018",Slovakia,Common blackbird,Turdus merula,Bird,Scientific capturing,NA,NA,NA,NA,6,5,NA,NA,6,0
4,TB,"Jahfari et al., 2017",Belgium,Western European hedgehog,Erinaceus europaeus,Mammal,Civilian capture,54,7,NA,NA,7,1,NA,NA,7,3
5,TB,"Silaghi et al., 2012",Germany,Bank vole,Myodes glareolus,Mammal,Scientific capturing,36,72,NA,NA,NA,NA,36,2,72,0
6,TB,"Blanarova et al., 2014",Slovakia,Bank vole,Myodes glareolus,Mammal,Scientific capturing,237,0,NA,NA,NA,NA,237,12,86,0
7,AP_larvae,"Jahfari et al., 2014",The Netherlands and Belgium,Wood mouse,Apodemus sylvaticus,Mammal,NA,NA,NA,NA,NA,NA,NA,23,1,109,1
8,AP_larvae,"Chvostac et al., 2018",Slovakia,Great tit,Parus major,Bird,Scientific capturing,NA,NA,NA,NA,245,27,NA,NA,242,0
9,bbslhost,"Andersson et al., 2013",Sweden,Bank vole,Myodes glareolus,Mammal,NA,NA,NA,906,154,NA,NA,NA,NA,NA,NA
10,bbslhost,"Balazova et al., 2021",Czech Republic,Bank vole,Myodes glareolus,Mammal,Scientific capturing,NA,NA,125,4,NA,NA,NA,NA,NA,NA
11,host_ap,"Barandika et al., 2007",Spain,Wood mouse,Apodemus sylvaticus,Mammal,Scientific capturing,NA,NA,NA,NA,NA,NA,162,1,NA,NA
