Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Hosts.studied,Host.infested,Infestation.prevalence,Total.ticks,Mean.abundance,Stages,Larvae.on.hosts,Mean.larval.abundance,Hosts.infested.with.larvae,Nymphs.on.hosts,Mean.nymphal.abundance,Host.infested.with.nymphs,Adults.on.hosts,Mean.adult.abundance,Host.infested.with.adults,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.AF.AH,Same.ref.AH.AF,Same.animals.BH.BF,Same.ref.BH.BF,Multiple.species,Notes,Birds,Additional.data.email,Data.collection,Double.ext
0001,"Adamska & Skotarczak, 2007",Near Szczecin,Poland,No,Forested areas,April & May 2003,European roe deer,Capreolus capreolus,Mammal,Hunting,43,35,0.81,155,3.60,No,NA,NA,NA,NA,NA,NA,155,3.60,NA,No,NA,AH,"Adamska & Skotarczak, (2007)",,,No,,No birds,,F,Yes
0002,"Amore et al., 2007","Le Cerbaie, Tuscany",Italy,No,Bottomlands and uplands,May - August 2005,Common wall lizard,Podarcis muralis,Reptile,Scientific capturing,97,NA,NA,452,4.66,Yes,409,4.22,72,43,0.44,26,0,0.00,0,Yes,"Mean larval abundance 95% CI: 3.3-5.5; Mean nymphal abundance 95% CI: 0.29-0.67; Larval prevalence of infestation 95% CI: 64.3-82.6%, Nymphal prevalence of infestation 95% CI: 18.3-36.7%",No,NA,,,No,,No birds,,F,Yes
0003,"Amore et al., 2007","Le Cerbaie, Tuscany",Italy,No,Bottomlands  ,May - August 2005,Apodemus spp.,Apodemus spp.,Mammal,Scientific capturing,53,NA,NA,190,3.58,Yes,187,3.53,42,3,0.06,3,0,0.00,0,Yes,"Mean larval abundance 95% CI: 2.6-4.7; Larval prevalence of infestation 95% CI: 65.9-89.2%, Nymphal prevalence of infestation 95% CI: 1.2-15.7%",No,NA,,,Half,,No birds,,F,Yes
0004,"Amore et al., 2007","Le Cerbaie, Tuscany",Italy,No,NA,March 2005,Common blackbird,Turdus merula,Bird,Scientific capturing,2,NA,NA,8,4.00,Yes,1,0.50,NA,7,3.50,NA,0,0.00,0,No,NA,No,NA,,,No,Additional information obtained from author,Migratory birds,,F,Yes
0005,"Amore et al., 2007","Le Cerbaie, Tuscany",Italy,No,NA,March 2005,Dunnock,Prunella modularis,Bird,Scientific capturing,2,NA,NA,3,1.50,Yes,0,0.00,NA,3,1.50,NA,0,0.00,0,No,NA,No,NA,,,No,Additional information obtained from author,Migratory birds,,F,Yes
0006,"Amore et al., 2007","Le Cerbaie, Tuscany",Italy,No,NA,March 2005,House sparrow,Passer domesticus,Bird,Scientific capturing,11,NA,NA,3,0.27,Yes,0,0.00,NA,3,0.27,NA,0,0.00,0,No,NA,No,NA,,,No,Additional information obtained from author,Migratory birds,,F,Yes
0007,"Amore et al., 2007","Le Cerbaie, Tuscany",Italy,No,NA,March 2005,European robin,Erithacus rubecula,Bird,Scientific capturing,3,NA,NA,1,0.33,Yes,0,0.00,NA,1,0.33,NA,0,0.00,0,No,NA,No,NA,,,No,Additional information obtained from author,Migratory birds,,F,Yes
0008,"Amore et al., 2007","Le Cerbaie, Tuscany",Italy,No,NA,March 2005,Long-tailed bushtit,Aegithalos caudatus,Bird,Scientific capturing,1,NA,NA,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,0,No,NA,No,NA,,,No,Additional information obtained from author,Migratory birds,,F,Yes
0009,"Amore et al., 2007","Le Cerbaie, Tuscany",Italy,No,NA,March 2005,European green woodpecker,Picus viridis,Bird,Scientific capturing,1,NA,NA,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,0,No,NA,No,NA,,,No,Additional information obtained from author,Migratory birds,,F,Yes
0010,"Amore et al., 2007","Le Cerbaie, Tuscany",Italy,No,NA,March 2005,Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing,1,NA,NA,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,0,No,NA,No,NA,,,No,Additional information obtained from author,Migratory birds,,F,Yes
