volgorde,Struco,area_2,perimeter_2
2,20,1116.398014,164.2468961
2,50,884.4511147,143.1449125
2,40,2120.684616,427.0978915
2,100,6505.58268,725.1519184
2,110,479.4406471,129.5788506
2,110,17940.63959,646.584037
2,0,2227.926464,416.4462077
4,20,7980.690403,1137.996045
4,50,2407.208363,243.5576486
4,50,7459.701534,661.4003389
4,10,987.3527222,193.4058388
4,10,63.76608276,51.34053363
4,10,15.29602432,22.65268672
4,40,10689.54668,866.3525712
4,61,1513.014366,257.2203331
4,61,1236.086166,191.1544477
4,0,251.8695793,202.1041932
5,0,6369.754723,551.0038827
5,20,1890.430363,186.5920113
5,20,1900.006569,286.152864
5,50,27.75173187,28.54482098
5,10,669.6245079,138.9709536
5,40,490.5178337,175.0021045
5,100,16058.54055,653.898156
5,110,3777.137802,329.607204
6,20,13154.96463,1097.354389
6,20,483.5077591,115.5143078
6,50,363.530571,125.12519
6,50,3395.820168,316.6276649
6,50,140.2979774,49.58861933
6,50,984.041851,195.9088636
6,50,319.1840668,72.52942302
6,50,3294.643665,301.9505962
6,10,225.2261086,98.50815628
6,10,443.2884827,119.4715044
6,10,1621.314911,218.1775169
6,10,551.4944229,121.7948579
6,10,340.5269165,107.9038497
6,40,463.6412811,119.5793978
6,61,189.6198807,108.7006033
6,61,1589.799919,156.4252592
6,61,3998.954399,346.4224698
6,0,0.612888336,49.29499176
7,20,395.3768425,105.0941406
7,40,940.0608902,159.3351396
7,100,419.5361061,100.356397
7,110,29153.90667,621.3769038
7,0,0.102962494,4.558068075
9,20,2088.039364,424.6575933
9,20,904.7533722,247.8583984
9,20,6067.372059,415.6383048
9,50,11073.34626,1063.555578
9,50,1132.470398,175.5032507
9,10,374.8581009,114.1494742
9,40,988.8234749,132.5047436
9,40,2221.461445,338.6258641
9,40,731.8034096,126.0488003
9,100,849.7583847,168.4841198
9,61,2932.226883,210.9899951
9,61,1768.442379,298.4514651
9,0,358.2545471,248.1813824
10,20,8029.168613,648.8258519
10,20,856.0791893,199.4144414
10,50,534.9939423,102.4226793
10,50,857.7323265,130.7101031
10,50,2452.675629,241.7722187
10,50,345.3884277,107.9032031
10,10,250.4082108,87.22151887
10,10,144.6440048,55.22443714
10,61,17947.81794,782.267305
10,0,0.164226532,17.24477044
13,20,269.0783157,64.06044531
13,20,1496.81741,229.7969198
13,20,2880.362125,409.2017368
13,10,306.0659676,116.8354935
13,40,48.97805786,30.62742653
13,61,383.6369247,97.13503709
13,100,24055.96648,947.8881587
13,0,1556.574562,218.3159637
14,20,276.4848061,75.00003362
14,20,427.2393608,92.15540681
14,20,30.93049622,28.0255368
14,50,5960.942944,316.0968787
14,50,3021.47364,242.6577145
14,50,297.9131889,93.66369027
14,10,9329.508404,551.5240192
14,61,10138.77637,631.1264448
14,0,1600.597984,567.7778986
15,20,6275.44722,505.0124077
15,20,153.9839096,53.91223508
15,20,585.5630341,126.157643
15,10,360.2136955,112.2434946
15,40,18491.1317,1237.46133
15,100,5131.115543,439.5377106
15,0,385.0562134,298.0154954
16,20,12192.92273,1190.081564
16,20,8.569168091,15.38422155
16,50,7525.950901,589.2661183
16,50,3136.327106,471.2079526
16,50,1011.894852,162.8616085
16,10,147.5728607,63.80650556
16,40,371.1296959,133.6734646
16,40,4441.508652,424.2661743
16,40,435.322979,176.8826002
16,61,739.8910675,136.7448352
16,61,756.3419113,154.2079162
16,0,870.1889763,493.274631
17,20,213.2470131,60.36324441
17,40,2946.232838,254.8161792
17,100,903.282196,193.7408752
