id,date,time,weather,sex,weight,svl,larvae,nymph,total,capture.method,lat,lon,habitat,total.analysed,l.analysed,n.analysed,positive.borrelia,positive.ap,positive.miy,positive.neoEhr,positive.bab,positive.spiPl
1,06/05/2021,12:30,Cloudy,m,N/A,N/A,0,4,4,Hand,52.3055951,4.5190712,Grassland,4,0,4,0,0,0,1,0,0
2,13/05/2021,12:50,Sunny,f,10,6.6,1,4,5,Noose,52.3083526,4.5222758,Open shrub,5,1,4,0,0,0,0,0,0
3,13/05/2021,13:20,Sunny,m,6.6,5.7,1,0,1,Noose,52.3083526,4.5222758,Open shrub,1,1,0,0,0,0,0,0,0
4,18/05/2021,14:40,Partly Cloudy,f,10.5,7.2,0,1,1,Noose,52.3538406,4.5582436,Open shrub,1,0,1,0,0,0,0,0,0
5,18/05/2021,15:30,Partly Cloudy,f,13,7.7,0,0,0,Hand,52.3531214,4.5599317,Open shrub,0,0,0,0,0,0,0,0,0
6,18/05/2021,17:00,Partly Cloudy,m,10,6.9,23,4,27,Hand,52.3589549,4.5575107,Open forest,26,22,4,0,0,0,0,0,0
7,18/05/2021,17:00,Partly Cloudy,m,10.3,7,4,6,10,Hand,52.3589549,4.5575107,Open forest,10,4,6,0,0,0,0,0,0
8,20/05/2021,10:40,Sunny,m,8.4,6.4,0,6,6,Noose,52.3053495,4.5053776,Grassland,6,0,6,0,0,1,0,0,0
9,20/05/2021,10:50,Sunny,f,7.6,6.6,0,0,0,Noose,52.3053495,4.5053776,Grassland,0,0,0,0,0,0,0,0,0
10,20/05/2021,11:20,Sunny,m,7.5,6.4,7,17,15,Noose,52.3061447,4.5068863,Open shrub,24,7,17,0,0,0,0,0,0
11,20/05/2021,12:00,Sunny,f,7.7,6.9,4,8,12,Noose,52.3061425,4.5067599,Open shrub,10,2,8,0,0,1,0,0,0
12,20/05/2021,12:10,Sunny,m,8.4,6.5,0,5,5,Noose,52.3062032,4.5066942,Open shrub,5,0,5,0,0,0,0,0,0
13,20/05/2021,12:15,Sunny,m,6.6,6.8,0,0,0,Noose,52.3062032,4.5066942,Open shrub,0,0,0,0,0,0,0,0,0
14,20/05/2021,13:47,Partly Cloudy,f,10.6,7.1,0,0,0,Hand,52.3055914,4.5064233,Grassland,0,0,0,0,0,0,0,0,0
15,21/05/2021,13:06,Cloudy,f,7.1,6.6,2,0,2,Hand,52.3377781,4.5590214,Open shrub,2,2,0,0,0,0,0,0,0
16,21/05/2021,13:29,Cloudy,m,8.8,6.8,5,13,18,Hand,52.338169,4.5586689,Open shrub,18,5,13,0,0,0,3,0,0
17,21/05/2021,14:45,Cloudy,f,7.8,6.7,1,8,9,Hand,52.3467927,4.5614439,Open shrub,9,1,8,0,0,0,2,0,0
18,21/05/2021,15:39,Cloudy,m,9.1,6.9,8,6,14,Hand,52.345878,4.5682083,Open shrub,14,8,6,0,0,7,1,0,0
19,01/06/2021,10:50,Sunny,m,8.8,6.6,0,3,3,Noose,52.322657,4.504515,Open shrub,3,0,3,0,0,1,0,0,0
20,01/06/2021,12:30,Sunny,m,10,7.9,6,9,13,Hand,52.314285,4.508507,Open shrub,15,6,9,0,0,3,1,0,0
21,01/06/2021,12:35,Sunny,f,10.6,7.4,0,2,2,Noose,52.314285,4.508507,Open shrub,2,0,2,0,0,0,0,0,0
22,01/06/2021,14:00,Sunny,m,8.6,7.3,24,4,28,Hand,52.3150905,4.5097519,Open forest,28,24,4,0,0,0,0,0,0
23,01/06/2021,14:00,Sunny,f,12,7.8,1,1,2,Hand,52.3150905,4.5097519,Open forest,2,1,1,0,0,0,0,0,0
