date,time.start,meantemp,mean.rh,sd,weather,volgorde,habitat,l.transect,n.transect,a.transect,t.transect,lizard.presence,n.analysed,positive.borrelia,borrelia.percent,positive.anaplasma,anapl.percent,latitude,longitude
02/06/2021,08:00,22.5,0.555,6.84222,1,6,Dense shrub,0,1,0,1,0,14,3,21.43,0,0,52.36170557,4.52350921
04/06/2021,09:00,20.25,0.7,2.63676,1,9,Dense shrub,0,5,1,6,0,110,24,21.82,1,0.91,52.3114142,4.49743265
04/06/2021,11:30,21.7,0.68,2.63676,1,10,Dense shrub,17,13,0,30,0,102,14,13.73,1,0.98,52.31423965,4.53190833
11/06/2021,08:20,16.35,0.91,1.12435,3,14,Dense shrub,0,4,0,4,0,17,3,17.65,0,0,52.31337775,4.49528574
14/06/2021,12:30,22.8,0.495,4.72772,1,19,Dense shrub,0,15,0,15,0,104,9,8.65,0,0,52.3636771,4.52493062
01/06/2021,12:30,24.3,0.32,7.2028,1,30,Dense shrub,0,7,0,7,1,107,21,19.63,1,0.93,52.31434317,4.5083524
01/07/2021,10:45,16.1,0.825,1.59389,2,36,Dense shrub,0,1,0,1,0,1,1,100,0,0,52.35657691,4.55500563
02/07/2021,10:30,18.15,0.78,1.5295,3,38,Dense shrub,15,1,0,16,0,21,2,9.52,0,0,52.3627867,4.529144
02/07/2021,13:30,18.55,0.77,1.5295,1,45,Dense shrub,0,0,0,0,0,12,1,8.33,1,8.33,52.34899841,4.5307797
19/07/2021,17:15,19.65,0.615,3.29444,1,55,Dense shrub,0,1,0,1,1,2,0,0,0,0,52.32599568,4.51559261
23/07/2021,14:30,20.75,0.665,3.11397,2,68,Dense shrub,18,4,0,22,0,20,3,15,0,0,52.36416231,4.52729779
17/08/2021,09:00,15.45,0.84,2.10908,3,95,Dense shrub,10,4,0,14,0,30,4,13.33,4,13.33,52.35551835,4.53677468
20/08/2021,10:30,20.2,0.79,1.70808,1,98,Dense shrub,4,0,0,4,0,0,N/A,N/A,N/A,N/A,52.36468408,4.53441146
12/09/2021,14:00,18.25,0.735,2.24123,1,109,Dense shrub,5,4,0,9,0,10,4,40,0,0,52.30671895,4.53008791
18/08/2021,11:00,18.5,0.775,2.57146,3,209,Dense shrub,10,2,0,12,0,46,9,19.57,2,4.35,52.30236823,4.50706676
22/06/2021,08:50,15.5,0.695,3.56567,2,27,Bracken,0,30,0,30,1,92,11,11.96,4,4.35,52.30418402,4.53329464
07/07/2021,18:00,17.7,0.69,3.63783,1,207,Bracken,2,49,7,58,1,92,6,6.52,0,0,52.30344432,4.53321429
24/08/2021,13:15,19.75,0.69,2.74431,1,213,Bracken,5,14,0,19,1,111,0,0,2,1.8,52.30243658,4.52375208
15/05/2021,09:00,10.75,0.8,1.13124,3,2,Forest,106,85,3,194,0,104,2,1.92,2,1.92,52.34597291,4.57578712
03/06/2021,11:15,20.15,0.735,3.15215,2,7,Forest,19,5,1,25,1,102,7,6.86,5,4.9,52.31633461,4.51133765
09/06/2021,13:20,19.75,0.635,2.93865,1,17,Forest,33,10,2,45,0,103,9,8.74,5,4.85,52.34848393,4.56692695
17/06/2021,16:00,21.4,0.76,4.22183,2,26,Forest,0,2,0,2,0,108,9,8.33,3,2.78,52.32353112,4.55720241
24/06/2021,16:00,15.7,0.675,2.3647,1,29,Forest,25,54,1,80,0,117,45,38.46,25,21.37,52.35629888,4.56546854
28/06/2021,09:45,21.2,0.815,1.61814,2,34,Forest,0,6,1,7,0,94,3,3.19,3,3.19,52.30109265,4.52958066
01/07/2021,13:00,16.55,0.82,1.59389,3,37,Forest,0,0,0,0,0,105,22,20.95,10,9.52,52.3452748,4.55363139
09/07/2021,09:00,18.6,0.785,1.65321,2,51,Forest,2,1,0,3,0,105,4,3.81,0,0,52.34205621,4.57069131
15/05/2021,12:00,11.7,0.77,1.13124,3,53,Forest,32,41,0,73,0,106,8,7.55,3,2.83,52.34710285,4.57891387
19/07/2021,15:00,21.55,0.58,3.29444,1,61,Forest,0,2,0,2,1,51,2,3.92,1,1.96,52.30275967,4.49980065
22/07/2021,09:30,19.95,0.67,3.20306,2,62,Forest,8,16,0,24,1,106,2,1.89,5,4.72,52.34230961,4.57161598
12/07/2021,09:30,22.8,0.65,2.65755,3,64,Forest,24,34,4,62,0,100,4,4,7,7,52.35875727,4.56479869
13/05/2021,14:00,16.75,0.545,2.21884,1,70,Forest,0,28,2,30,1,102,1,0.98,2,1.96,52.30519973,4.52559235
02/08/2021,11:00,18.05,0.635,2.86574,2,75,Forest,23,3,0,26,0,105,12,11.43,4,3.81,52.33509161,4.56953138
02/08/2021,15:30,17,0.65,2.86574,2,76,Forest,10,1,0,11,0,106,2,1.89,3,2.83,52.3433865,4.57046025
12/08/2021,11:00,20.45,0.76,2.43199,2,80,Forest,16,2,0,18,0,104,12,11.54,11,10.58,52.34433811,4.55685572
19/08/2021,14:30,16.7,0.895,1.74925,3,100,Forest,27,5,0,32,0,51,2,3.92,5,9.8,52.3619567,4.56705429
25/05/2021,12:30,11.7,0.785,1.45884,2,130,Forest,23,103,2,128,0,108,17,15.74,6,5.56,52.29727195,4.52410013
24/06/2021,13:50,16.6,0.66,2.3647,1,200,Forest,21,6,0,27,0,45,4,8.89,0,0,52.34067748,4.53478899
02/07/2021,16:10,17.65,0.785,1.5295,1,201,Forest,9,2,1,12,0,108,5,4.63,1,0.93,52.3613049,4.55213978
20/08/2021,11:50,20.5,0.765,1.70808,2,210,Forest,48,10,1,59,0,76,2,2.63,6,7.89,52.36464829,4.5654959
22/07/2021,13:00,19.9,0.675,3.20306,1,211,Forest,45,10,0,55,0,114,5,4.39,4,3.51,52.33802222,4.5395878
07/09/2021,13:00,24.4,0.495,4.38407,1,214,Forest,3,7,0,10,0,104,7,6.73,1,0.96,52.29501099,4.51736245
02/06/2021,09:50,24.25,0.45,6.84222,1,5,Open forest,16,4,0,20,0,15,1,6.67,1,6.67,52.36579776,4.56544084
08/06/2021,12:15,20.4,0.63,3.81451,1,13,Open forest,4,7,0,11,0,101,0,0,1,0.99,52.34118871,4.5549684
15/06/2021,09:30,19.05,0.655,4.10431,2,22,Open forest,35,44,0,79,0,107,1,0.93,9,8.41,52.3428289,4.5690263
14/06/2021,11:00,22.45,0.51,4.72772,1,24,Open forest,0,1,0,1,0,8,1,12.5,0,0,52.36299298,4.55013955
07/07/2021,16:15,18.6,0.65,3.63783,1,44,Open forest,0,1,0,1,0,3,0,0,0,0,52.31492512,4.52625779
07/07/2021,13:30,19.7,0.64,3.63783,2,47,Open forest,6,5,0,11,1,17,1,5.88,1,5.88,52.30526013,4.49400248
18/05/2021,16:30,12.05,0.705,1.56128,2,59,Open forest,1,19,0,20,1,102,7,6.86,4,3.92,52.35919636,4.55706082
23/07/2021,10:00,19,0.705,3.11397,3,66,Open forest,20,3,0,23,0,11,0,0,0,0,52.36210313,4.566009
05/08/2021,14:00,22.2,0.61,3.22891,2,88,Open forest,68,3,0,71,0,19,0,0,0,0,52.30429978,4.50150824
13/08/2021,16:00,19,0.75,2.70237,2,92,Open forest,33,0,0,33,0,106,0,0,5,4.72,52.3386478,4.5637698
18/08/2021,15:30,17.55,0.805,2.57146,3,97,Open forest,4,0,0,4,1,24,0,0,0,0,52.32019572,4.51112979
16/07/2021,15:20,18.45,0.75,2.97461,2,120,Open forest,21,2,1,24,0,52,2,3.85,4,7.69,52.32469664,4.55091563
12/05/2021,10:00,13.6,0.705,1.98531,1,124,Open forest,0,17,1,18,0,103,0,0,4,3.88,52.34618867,4.56847294
08/07/2021,14:00,19.65,0.715,2.34214,1,204,Open forest,0,5,0,5,0,108,2,1.85,2,1.85,52.33762019,4.55297085
09/06/2021,11:30,20.4,0.605,2.93865,1,12,High grass,0,0,0,0,1,0,N/A,N/A,N/A,N/A,52.34825747,4.56163565
02/08/2021,09:30,17.7,0.67,2.86574,2,41,High grass,0,0,0,0,0,0,N/A,N/A,N/A,N/A,52.35587703,4.52713432
07/07/2021,11:20,18.65,0.69,3.63783,3,202,High grass,0,0,0,0,1,0,N/A,N/A,N/A,N/A,52.30516359,4.50576164
17/05/2021,16:00,11.15,0.795,1.16053,2,1,Short grass,0,2,0,2,0,3,0,0,0,0,52.34331183,4.51038151
18/05/2021,13:00,12.85,0.74,1.56128,2,3,Short grass,0,0,0,0,0,6,1,16.67,0,0,52.35021361,4.54414576
03/06/2021,08:00,20.25,0.755,3.15215,2,8,Short grass,0,0,0,0,0,0,N/A,N/A,N/A,N/A,52.30680404,4.52275214
08/06/2021,09:15,21.65,0.51,3.81451,1,11,Short grass,0,0,0,0,0,0,N/A,N/A,N/A,N/A,52.34347136,4.54866554
14/06/2021,09:00,23.2,0.485,4.72772,1,20,Short grass,0,0,0,0,0,2,0,0,0,0,52.35115404,4.54684822
17/06/2021,11:00,25.4,0.635,4.22183,3,21,Short grass,0,0,0,0,0,0,N/A,N/A,N/A,N/A,52.34731656,4.5398748
22/06/2021,12:30,16.8,0.65,3.56567,2,28,Short grass,0,0,0,0,1,0,0,,0,,52.30392941,4.50823025
24/06/2021,09:30,16.55,0.655,2.3647,1,31,Short grass,0,0,0,0,0,0,N/A,N/A,N/A,N/A,52.33755046,4.50565024
22/06/2021,15:15,16.15,0.62,3.56567,2,32,Short grass,0,0,0,0,0,0,N/A,N/A,N/A,N/A,52.30030728,4.49988703
